date,total num arrivals,total num departures,total num of people making complaints,"total number of all complaints (phone, email, web, letters)"
18th October 2015,661,656,170,524
17th October 2015,624,634,104,319
16th October 2015,679,676,126,461
15th October 2015,670,671,144,521
14th October 2015,663,662,136,396
13th October 2015,664,664,117,455
12th October 2015,670,669,120,353
11th October 2015,666,653,125,317
10th October 2015,625,635,112,420
9th October 2015,677,681,104,354
8th October 2015,669,667,78,340
7th October 2015,664,668,65,272
6th October 2015,670,670,131,352
5th October 2015,670,668,133,305
4th October 2015,666,656,97,795
3rd October 2015,631,639,44,248
2nd October 2015,681,681,102,302
1st October 2015,677,678,72,176
30th September 2015,678,680,,143
29th September 2015,675,677,,274
28th September 2015,681,681,,239
27th September 2015,666,655,,255
26th september 2015,650,659,,246
25th September 2015,688,687,,270
24th September 2015,682,686,,260
23rd September 2015,678,679,,252
22nd September 2015,686,677,,309
21st September 2015,681,683,,510
20th September 2015,683,672,,274
19th September 2015,650,663,,433
18th September 2015,688,683,,288
17th September 2015,682,688,,295
16th September 2015,677,676,,160
15th September 2015,682,684,,415
14th September 2015,683,678,,404
13th September 2015,677,670,,431
12th September 2015,645,655,,203
11th September 2015,688,689,,266
10th September 2015,686,687,,330
9th September 2015,672,671,,306
8th September 2015,690,688,,237
7th September 2015,686,687,,253
6th September 2015,674,667,,299
5th September 2015,648,660,,195
4th September 2015,692,687,,244
3rd September 2015,683,683,,271
2nd September 2015,687,683,,309
1st September 2015,691,692,,317
31st August 2015,687,690,,344
30th August 2015,679,673,,336
29th August 2015,656,659,,261
28th August 2015,689,690,,268
27th August 2015,682,687,,186
26th August 2015,682,679,,159
25th August 2015,680,682,,264
24th August 2015,681,678,,334
23rd August 2015,674,665,,469
22nd August 2015,646,658,,352
21st August 2015,690,688,,414
20th August 2015,683,683,,260
19th August 2015,691,688,,241
18th August 2015,677,679,,289
17th August 2015,682,679,,462
16th August 2015,677,670,,267
15th August 2015,647,654,,292
14th August 2015,684,684,,189
13th August 2015,671,672,,220
12th August 2015,680,680,,340
11th August 2015,683,684,,603
10th August 2015,681,682,,267
9th August 2015,679,669,,223
8th August 2015,645,652,,350
7th August 2015,690,685,,327
6th August 2015,674,679,,243
5th August 2015,680,679,,315
4th August 2015,680,680,,189
3rd August 2015,682,683,,282
2nd August 2015,683,673,,277
1st August 2015,646,656,,539
31st July 2015,689,689,,266
30th July 2015,685,689,,359
29th July 2015,679,676,,291
28th July 2015,683,684,,248
27th July 2015,689,689,,233
26th July 2015,677,661,,422
25th July 2015,642,657,,508
24th July 2015,690,686,,228
23rd July 2015,680,682,,267
22nd July 2015,677,676,,324
21st July 2015,674,678,,261
20th July 2015,683,684,,281
19th July 2015,675,664,,482
18th July 2015,644,651,,450
17th July 2015,691,690,,262
16th July 2015,684,686,,313
15th July 2015,678,678,,317
14th July 2015,680,684,,290
13th July 2015,676,672,,256
12th July 2015,681,675,,384
11th July 2015,639,650,,466
10th July 2015,682,677,,402
9th July 2015,684,686,,299
8th July 2015,680,681,,250
7th July 2015,675,672,,251
6th July 2015,681,681,,400
5th July 2015,670,663,,389
4th July 2015,646,653,,223
3rd July 2015,683,683,,257
2nd July 2015,684,683,,341
1st July 2015,677,677,,395
30th June 2015,682,685,,289
29th June 2015,683,683,,257
28th June 2015,677,669,,221
27th June 2015,648,657,,372
26th June 2015,695,695,,309
25th June 2015,690,687,,303
24th June 2015,684,686,,290
23rd June 2015,683,684,,231
22nd June 2015,685,683,,282
21st June 2015,679,668,,417
20th June 2015,648,660,,426
19th June 2015,691,693,,442
18th June 2015,681,678,,446
17th June 2015,683,684,,373
16th June 2015,686,687,,502
15th June 2015,689,687,,372
14th June 2015,681,673,,344
